"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD test","Test001","SUCCESS","2023-01-03T20:31:23.840Z[Europe/London]","0.0","2.41"
"Product CURD test","Test002","SUCCESS","2023-01-03T20:31:26.279Z[Europe/London]","0.0","0.79"
"Product CURD test","Test003","SUCCESS","2023-01-03T20:31:27.067Z[Europe/London]","0.0","0.03"
"Product CURD test","Test004","SUCCESS","2023-01-03T20:31:27.097Z[Europe/London]","0.0","0.03"
"Product CURD test","Test005","SUCCESS","2023-01-03T20:31:27.129Z[Europe/London]","0.0","0.04"
